selector,decision,chosen_policy,evidence_score,tau,false_safe,unsafe_accept,selected_truth_cvar,selected_truth_return,task,family,behavior,seed,scheme,risk_version,budget,mode,target_abstain,common_budget,abstention_rate,accept_rate,reject_rate,abstention_gap,matched,false_safe_denominator
SCROPE++,ACCEPT,ridge_return_train_only,0.009090395799220885,0.1,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.7083333333333334,0.14166666666666666,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a000,479.0000000000107,0.1,0,0,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0105847038230381,0.1,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0135,0.1,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,ridge_return_train_only,39.99999999999997,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.15,0.20833333333333334,0.6416666666666667,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a000,479.0000000000107,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0105847038230381,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a015,-0.020670718109882198,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a024,0.07649201061487199,0.1,0,0,0.0370227528089887,0.0007441713483146,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.3416666666666667,0.5083333333333333,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a000,479.0000000000107,0.1,0,0,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0105847038230381,0.1,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a015,-0.020670718109882198,0.1,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.009090395799220885,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.7083333333333334,0.14166666666666666,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a000,479.0000000000107,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0115100162782172,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a017,-0.011,0.0377527770419426,0,0,0.0292540730337078,0.0005257724719101,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.009090395799220885,0.1,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.7083333333333334,0.14166666666666666,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a000,479.0000000000107,0.1,0,0,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0115100162782172,0.1,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
